[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:61984 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:59091 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:58691 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:61765 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:60500 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:56980 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:64285 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:58472 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:52066 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:57690 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:56876 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:56850 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:51919 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:54559 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:64847 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:58713 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:56614 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:52433 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:60751 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:63146 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:59603 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:52839 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:51398 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:56137 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:49782 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:49684 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:55688 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:49614 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:57909 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:65181 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:52982 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:58546 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:64561 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:50289 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:61835 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:62474 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:55219 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:52763 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:62127 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:59991 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:58622 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:56781 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:65510 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:50295 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:55959 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:52767 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:56280 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:57877 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:59007 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:57250 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:52618 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:62803 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:49531 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:56571 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:54058 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:61440 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:50558 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:49338 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:56452 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:62851 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:59764 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:57932 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:65430 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:50691 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:57623 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:49895 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:61529 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:52629 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:49908 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:52112 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:62413 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:50169 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:63000 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:50284 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:55208 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:60655 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:59083 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:63305 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:65385 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:59331 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:57564 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:63767 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:58800 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:57550 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:53857 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:51828 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:53249 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:54682 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:55563 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:52056 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:52437 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:58114 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:62759 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:60031 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:65513 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:58851 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:59772 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:55172 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:57954 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:57417 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:57276 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:62357 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:54644 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:65107 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:59187 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:51091 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:63850 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:55282 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:51983 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:52466 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:50879 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:63314 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:55646 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:52055 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:56601 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:49437 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:57683 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:57809 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:58098 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:63100 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:50020 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:59585 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:58646 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:50828 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:52416 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:55091 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:59341 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:64540 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:57300 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:58955 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:51601 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:55493 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:62166 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:51702 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:56487 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:56539 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:58055 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:64274 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:61782 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:60885 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:58339 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:58766 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:54586 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:54754 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:62650 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:52702 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:53775 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:54480 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:61662 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:64159 | 
[BLOCKED IN] UDP/UNKNOWN | 192.168.0.1:53 -> 192.168.3.249:49913 | 
